DiviWatch — Template Input Dividen Manual,,,,,,,,
Kolom KUNING = input wajib | Kolom HIJAU = otomatis dihitung | Kolom BIRU = opsional,,,,,,,,
Dividen,,,,,,,,
Kode,Tahun,Tipe,Dividen (Rp),Harga CumDate,Div. Yield,DPR (%),Tanggal ExDate,Yield 1 Tahun
ANTM,2012,TAHUNAN,90.99,"1,390",6.55%,45.00%,28/06/2012,6.55%
ANTM,2013,TAHUNAN,47.09,"1,310",3.59%,15.00%,30/05/2013,3.59%
ANTM,2014,TAHUNAN,9.67,"1,200",0.81%,22.50%,30/04/2014,0.81%
ANTM,2015,TAHUNAN,,,,,,
ANTM,2016,TAHUNAN,,,,,,
ANTM,2017,TAHUNAN,,,,,,
ANTM,2018,TAHUNAN,1.99,935,0.21%,35.00%,20/04/2018,0.21%
ANTM,2019,TAHUNAN,12.74,790,1.61%,35.00%,06/05/2019,1.61%
ANTM,2020,TAHUNAN,2.82,610,0.46%,35.00%,22/06/2020,0.46%
ANTM,2021,TAHUNAN,16.74,"2,270",0.74%,35.00%,16/04/2021,0.74%
ANTM,2022,TAHUNAN,38.74,"2,500",1.55%,50.00%,06/06/2022,1.55%
ANTM,2023,TAHUNAN,79.50,"2,010",3.96%,50.00%,26/06/2023,3.96%
ANTM,2024,TAHUNAN,128.07,"1,655",7.74%,100.00%,21/05/2024,7.74%
ANTM,2025,TAHUNAN,151.77,"3,200",4.74%,100.00%,23/06/2025,4.74%
,,,,,,,,
BBRI,2023,INTERIM,57.00,"4,590",1.24%,,10/01/2023,
BBRI,2023,FINAL,231.22,"4,900",4.72%,85.00%,24/03/2023,6.00%
BBRI,2024,INTERIM,84.00,"5,725",1.47%,,02/01/2024,
BBRI,2024,FINAL,235.00,"6,400",3.67%,80.00%,14/03/2024,5.10%
BBRI,2025,INTERIM,135.00,"4,200",3.21%,,27/12/2024,
BBRI,2025,FINAL,208.40,"3,800",5.48%,86.00%,11/04/2025,8.70%ADRO,2024,FINAL,166.69,None,,36.75,2025-06-13,
